,material_id,cif,formula,heat_all,heat_ref,dir_gap,ind_gap
996,3961,"# generated using pymatgen
data_TiOsNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.05632160
_cell_length_b   4.05632160
_cell_length_c   4.05632160
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiOsNOF
_chemical_formula_sum   'Ti1 Os1 N1 O1 F1'
_cell_volume   66.74168089
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  -0.39078906  0.00000000  0.00000000  1
  Os  Os1  1  0.77619935  0.50000000  0.50000000  1
  F  F2  1  0.41528400  0.00000000  0.50000000  1
  N  N3  1  0.74200080  0.50000000  0.00000000  1
  O  O4  1  0.23143281  0.50000000  0.50000000  1
",TiOsOFN,1.16,1.438331494,0,0
13356,11922,"# generated using pymatgen
data_TlRuO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34903456
_cell_length_b   4.34903456
_cell_length_c   4.34903456
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlRuO2F
_chemical_formula_sum   'Tl1 Ru1 O2 F1'
_cell_volume   82.25808174
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ru  Ru0  1  0.00033725  0.00000000  0.00000000  1
  Tl  Tl1  1  0.50576730  0.50000000  0.50000000  1
  F  F2  1  0.49946523  0.00000000  0.50000000  1
  O  O3  1  0.49976346  0.50000000  0.00000000  1
  O  O4  1  0.00473415  0.50000000  0.50000000  1
",RuTlO2F,1.66,1.604895907,0,0
17389,6694,"# generated using pymatgen
data_BiPtN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.29844890
_cell_length_b   4.29844890
_cell_length_c   4.29844890
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BiPtN2O
_chemical_formula_sum   'Bi1 Pt1 N2 O1'
_cell_volume   79.42099162
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.29997257  -0.00000000  -0.00000000  1
  Bi  Bi1  1  0.53993421  0.50000000  0.50000000  1
  N  N2  1  0.36834345  -0.00000000  0.50000000  1
  N  N3  1  0.36834345  0.50000000  -0.00000000  1
  O  O4  1  0.01082605  0.50000000  0.50000000  1
",PtBiON2,1.56,1.569679218,0,0
5951,3335,"# generated using pymatgen
data_VRhNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02270344
_cell_length_b   4.02270344
_cell_length_c   4.02270344
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VRhNOF
_chemical_formula_sum   'V1 Rh1 N1 O1 F1'
_cell_volume   65.09596203
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00049375  0.00000000  0.00000000  1
  Rh  Rh1  1  0.50448113  0.50000000  0.50000000  1
  F  F2  1  0.49993299  0.00000000  0.50000000  1
  N  N3  1  0.49968514  0.50000000  0.00000000  1
  O  O4  1  0.00455817  0.50000000  0.50000000  1
",VRhOFN,1.56,1.56671326,0,0
10279,18565,"# generated using pymatgen
data_CuAsN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.78270614
_cell_length_b   3.78270614
_cell_length_c   3.78270614
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuAsN3
_chemical_formula_sum   'Cu1 As1 N3'
_cell_volume   54.12623443
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00000000  0.00000000  0.00000000  1
  As  As1  1  0.50000000  0.50000000  0.50000000  1
  N  N2  1  0.50000000  0.00000000  0.50000000  1
  N  N3  1  0.50000000  0.50000000  0.00000000  1
  N  N4  1  0.00000000  0.50000000  0.50000000  1
",CuAsN3,1.96,1.957101879,0,0
11311,2330,"# generated using pymatgen
data_LiSiNO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.58451331
_cell_length_b   3.58451331
_cell_length_c   3.58451331
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiSiNO2
_chemical_formula_sum   'Li1 Si1 N1 O2'
_cell_volume   46.05646406
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.28531504  0.00000000  0.00000000  1
  Li  Li1  1  0.55085454  0.50000000  0.50000000  1
  N  N2  1  0.15366418  -0.00000000  0.50000000  1
  O  O3  1  0.47407905  0.50000000  -0.00000000  1
  O  O4  1  0.03555206  0.50000000  0.50000000  1
",SiLiO2N,1.62,1.614782678,0,0
16344,3821,"# generated using pymatgen
data_PbWNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.38797299
_cell_length_b   4.38797299
_cell_length_c   4.38797299
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PbWNOF
_chemical_formula_sum   'Pb1 W1 N1 O1 F1'
_cell_volume   84.48737868
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  W  W0  1  0.00040354  0.00000000  0.00000000  1
  Pb  Pb1  1  0.50596338  0.50000000  0.50000000  1
  F  F2  1  0.49949773  0.00000000  0.50000000  1
  N  N3  1  0.49964437  0.50000000  0.00000000  1
  O  O4  1  0.00486688  0.50000000  0.50000000  1
",WPbOFN,2.24,2.237783506,0,0
7053,15919,"# generated using pymatgen
data_HgSbO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.07884264
_cell_length_b   4.07884264
_cell_length_c   4.07884264
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HgSbO3
_chemical_formula_sum   'Hg1 Sb1 O3'
_cell_volume   67.85953090
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  0.00191037  0.00000000  0.00000000  1
  Sb  Sb1  1  0.50332499  0.50000000  0.50000000  1
  O  O2  1  0.50101089  0.00000000  0.50000000  1
  O  O3  1  0.50101089  0.50000000  0.00000000  1
  O  O4  1  0.00311160  0.50000000  0.50000000  1
",HgSbO3,0.8,0.801446951,0,0
3259,8303,"# generated using pymatgen
data_BeHgSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.09651573
_cell_length_b   4.09651573
_cell_length_c   4.09651573
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BeHgSO2
_chemical_formula_sum   'Be1 Hg1 S1 O2'
_cell_volume   68.74543769
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  -0.04157757  0.00000000  0.00000000  1
  Be  Be1  1  0.58392302  0.50000000  0.50000000  1
  S  S2  1  0.37464796  0.00000000  0.50000000  1
  O  O3  1  0.60862477  0.50000000  0.00000000  1
  O  O4  1  -0.02473635  0.50000000  0.50000000  1
",HgBeO2S,1.48,1.483830551,0,0
250,4426,"# generated using pymatgen
data_InMoNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.25550490
_cell_length_b   4.25550490
_cell_length_c   4.25550490
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InMoNOF
_chemical_formula_sum   'In1 Mo1 N1 O1 F1'
_cell_volume   77.06430832
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mo  Mo0  1  0.00260664  0.00000000  0.00000000  1
  In  In1  1  0.49980599  0.50000000  0.50000000  1
  F  F2  1  0.49977465  0.00000000  0.50000000  1
  N  N3  1  0.50122382  0.50000000  0.00000000  1
  O  O4  1  0.00009054  0.50000000  0.50000000  1
",MoInOFN,1.5,1.47676942,0,0
